property_id,price_pred
11141961,144906.01421175548
11158977,312020.7409334839
11072105,1062688.6897403721
11129303,156113.12510478147
11155131,214227.50130131628
11142564,116043.4401195619
11093958,181641.6172188802
10985322,353147.7249852837
10978765,418872.5128686889
11100255,872136.2999673088
11153019,510240.92594449455
11154493,136922.61898666676
10952162,709341.2907039041
11156572,438553.0397552472
10545648,845159.8707089846
10892319,406202.6703720132
10975236,267532.3839233437
11145362,256555.98624784945
11151705,210463.43074000982
10857677,810116.5943343318
11038477,571596.5754385334
10732841,322523.80402905145
10880066,634123.184748969
10900623,190915.48581680935
11020535,238055.06816520978
11153163,315057.62968848
10951739,364525.2813882997
11076188,326277.0433252498
11052730,137102.73932985077
11138973,294617.0451446798
9985452,1433383.3321562891
11083322,198258.9315499728
11102172,534072.286328652
11014595,664344.5691868558
10725918,173597.15639152884
11016926,248757.4614034601
11149427,1043379.4719287159
11128321,358586.9146923753
11154902,193023.92626543413
11099164,363333.8146756502
11153195,286711.7002743754
10897491,411218.22862942994
11122796,292902.2137033456
11109630,115547.97700606013
11095764,619584.0017794182
11041554,222698.35668279076
8948318,529273.729176905
11128562,299594.00591183244
10920371,504053.0273091554
11157329,336512.5616462489
10734920,783862.2093599844
10823887,175585.18240016018
11140559,310160.99540864286
10675306,217388.87218600174
11160908,77162.3596861518
11029197,389121.9798369872
11103591,243270.334125094
11147421,141927.62004972823
10890097,1238328.9704538605
10984827,599496.9853775187
11113257,142411.79096244648
10777288,288122.2940827891
11162182,273587.93901785556
11156437,452932.34869355755
11011915,1391406.215341955
11000331,218100.97399348265
11043486,248975.27265094747
11145292,267669.22866894037
10610625,338626.03482817876
11161324,369679.6143132088
10555484,140519.0765747705
11092332,50614.73447309664
11140534,303383.34028880706
11155560,264016.0278247335
11143943,88536.4301871458
11150235,277126.0443514792
11154439,210302.95411954174
11133792,370759.4200288165
11150712,1378636.9916269367
11121834,196137.79922137086
11154673,259829.43447838703
11151165,580359.8499069854
11149591,208821.4404565941
11016580,363936.3843546858
11158646,394311.77953732666
11091714,697650.1687222067
10950794,695793.8305515337
11143449,71667.15915602494
11144534,247673.5689453272
11151900,526696.5643559863
11161798,139696.58062202355
10880166,180148.21183479633
11135012,313456.12967919506
11147890,496083.73755605624
11103404,293248.889192665
11087397,464268.880420656
11093907,1233413.5868660565
11075773,129944.73819405513
11008988,1399800.9505544207
